id,Job_Role,Company,Location,Skills/Description
41,Principal Data Scientist,UPL,"Bangalore/Bengaluru, Mumbai (All Areas)","Team Management, MLT, machine learning, Python, digital analytics, data analysis, data science, AWS"
42,Data Scientist,Genpact,"Hyderabad/Secunderabad, Bangalore/Bengaluru, Delhi / NCR","AWS, IT Skills, Python, Testing, Data Science, Machine Learning, Naive Bayes, Decision Tree"
43,Data Scientist: Advanced Analytics,IBM,Bangalore/Bengaluru,"Interpersonal skills, data science, Consulting, Machine learning, Open source, Training, advanced analytics, Circuit designing"
44,Data Scientist: Artificial Intelligence,IBM,Bangalore/Bengaluru,"Data migration, Maximo, Enterprise applications, Artificial Intelligence, Open source, Maximo Implementation, Maximo data model, Maximo data migration"
45,"Data Scientist / Lead Data Engineer (SQL, Azure Synposys, Bigdata)",INOVARTECH PRIVATE LIMITED,Hyderabad/Secunderabad(Nanakramguda),"Power Bi, HDInsight, EMR, ETL, Big Data ecosystem, Glue, Dataflow, Oozie"
46,VP-Data Scientist-AI/ML with Leading Investment Bank,SKILLVENTORY,Bangalore/Bengaluru,"Pytorch, Tensorflow, Data Science, Pyspark, Presto, Classification, Time Series, Machine Learning"
47,Senior Data Scientist,Walmart,Bangalore/Bengaluru,"IT Skills, Testing, Data Science, Machine Learning, Cloud, Big Data, Text mining, Neural networks"
48,Cognitive/AI Senior Data Scientist,IBM,Bangalore/Bengaluru,"Automation, Consulting, Machine learning, Analytics, Salesforce, IT Skills, Azure, IVR"
49,Analyst - Applied Data Scientist,Tesco,Bangalore/Bengaluru,"python, Tableau, SQL"
50,Research Data Scientist,Mavenir,Bangalore/Bengaluru,"Machine Learning, Python, IT Skills, Software Development, Data Science, Cloud, Logistic Regression, NoSQL"
51,Freshers For Junior Data Scientist,Aaum Research and Analytics Private Limited,Chennai,"Statistical Modeling, R Program"
52,Lead - Data Scientist,Applied Materials,Bangalore/Bengaluru,"data science, Java, Business Intelligence, R, visualization, Business Analytics, SQL Server, Tableau"
53,Data Scientist / Analyst,Deutsche Bank,Bangalore/Bengaluru,"Data analysis, Wealth management, Coding, Project management, Analytical, Anti money laundering, Cash management, Financial services"
54,Data Scientist - Machine Learning/APICS,CarbyneTech India,Hyderabad/Secunderabad,"Machine Learning, Data Science, R, APICS, NLP, Artificial Intelligence, Data Management, Python"
55,Data Scientist,Vasta Bio-informatics Pvt ltd,"Thane, Panvel, Navi Mumbai","python, Regression, Data Visualization, machine learning, SQL, Power Bi, Data Manipulation, Sql Querying"
56,Assistant Manager/Manager/Senior Manager - Data Scientist,Huquo Consulting Pvt. Ltd,"Gurgaon/Gurugram, Bangalore/Bengaluru","R, SAS, Data Scientist, analytics, analytical skills, Machine Learning"
57,Senior Data Scientist,AVTAR Career Creators,Chennai,"Data Science, Data Scientist, Data Analysis, Data Analytics, data analyst, Python, R, SQL"
58,Job Opportunity || Data Scientist || HCL Technologies,HCL Technologies,Delhi / NCR,"machine learning, Python, Caffe, Torch, OpenCV, Tensorflow, Theano, CuDNN"
59,Clinical Data Management Scientist,Accenture,Bangalore/Bengaluru,"SAS, Data management, Consulting, Life sciences, SQL, IT Skills, Cloud, Statistical programming"
60,Data Scientist: Advanced Analytics,IBM,Kolkata,"Interpersonal skills, data science, Consulting, Machine learning, Open source, IT Skills, Training, advanced analytics"
61,Data Scientist - KONE India Pvt. LTD,KONE,Pune,"python, R, SQL, IT Skills, Cloud, DevOps, AWS, Data Visualization"
62,Data Scientist,Ericsson,Noida,"Graphics, Bidding, Data management, PHP, HTML, microsoft, Data mining, Business intelligence"
63,Data Scientist - Leading Analytics Product Company in Mumbai,Maestro Headhunters LLP,Mumbai,"Senior Data Scientist, Regression, Text Mining, Clustering, Machine Learning, Java, C++, C"
64,Data Scientist - R/Python,TRH Consultancy Services,Greater Noida,"Python, R, Data Scientist, Artificial Intelligence, Data Mining, Machine Learning, PhD, SQL"
65,Data Scientist - Machine Learning,Axcess Consultancy Services,Hyderabad/Secunderabad,"Machine Learning, Data Science, Data Pipeline, Data Scientist, Cloud, Data Management, Tableau, Algorithm"
66,Sr. Data Scientist,Invesco,Hyderabad/Secunderabad,"analytical project management, predictive model, Data Management, Data Mining, Data Cleansing, Data Visualization, Statistical Data Analysis, SVM"
67,Sr. Data Scientist,Accumed Practice Management DMCC,Chennai,"Conceptual modelling, Natural Language Processing, Machine learning, Predictive modelling, Hypothesis testing. -experience working on building an AI Conversation Voice Chatbot, IT Skills, Python, Testing"
68,Senior Data Scientist,ContractPodAi,Mumbai,"Cloud computing, Simulation, Agile scrum, Contract management, Neural networks, Analytical, Machine learning, Predictive modeling"
69,Digital-Senior Process Manager- Data Scientist SPM,eClerx,Pune,"data visualization tools, IT Skills, Python, Data Science, Project Management, Tableau, BPO, project management"
70,Senior Data Scientist,ICERTIS Solutions,Pune,"IT Skills, Python, Data Science, Machine Learning, Artificial Intelligence, Cloud, Text mining, Cloud computing"
71,Sr Data Scientist,Oportun Inc,Chennai,"Computer science, Administration, Logistic regression, SAS, Coding, MIS, Intellectual property, Financial services"
72,Data Scientist,PayPal,Chennai,"Unix, Operations research, SAS, Data management, Risk analytics, Project management, Data collection, Data mining"
73,Data Scientist/ Analyst Specialist,TransOrg Solutions Services (P) Ltd.,"Noida, New Delhi, Gurgaon/Gurugram, Delhi / NCR, Mumbai (All Areas)","Machine Learning, Python, SQL, R, Logistic Regression, Computer Science, Client Servicing, Data Analysis"
74,Data Scientist (freelance),2Coms,"Bangalore/Bengaluru, Bangalore North",Data Scientist
75,Data Scientist,M/S NILE,Bangalore/Bengaluru,"Java, python, NLP, MySQL, Machine Learning, Deep Learning"
76,Data Scientist,ZOLVE INNOVATIONS PRIVATE LIMITED,Bangalore/Bengaluru(Bellandur),"Data Science, Pyspark, Algorithms, Machine Learning, Deep Learning"
77,Rolls-Royce Data Labs : Data Scientist,Rolls Royce,Bangalore/Bengaluru,"Matplotlib, Azure, GIT, Linux, Docker, Pandas, Python"
78,Data Scientist,Applied Materials,Bangalore/Bengaluru,"data science, CNN, LSTM, numpy, Machine Learning, Deep Learning, Pytorch, pandas"
79,Staff Data Scientist,Walmart,Bangalore/Bengaluru,"Product management, Data analysis, Image processing, Machine learning, Agile, Data quality, application architecture, SQL"
80,Data Scientist,VISA,Bangalore/Bengaluru,"Hadoop, IT Skills, Data Science, Computer science, Operations research, Interpersonal skills, Risk analytics, SCALA"
81,Data Scientist: Artificial Intelligence,IBM,Bangalore/Bengaluru,"Scheduling, big data, Unix shell scripting, SQL, Python, Automation, Interpersonal skills, Artificial Intelligence"
