id,Job_Role,Company,Location,Skills/Description
828,Data Scientist - Business Intelligence,Career Infosystem,"Chennai, Bangalore/Bengaluru","Business Intelligence, NoSQL databases, SQL, Tensorflow, NoSQL, Data Scientist, Cloud, Numpy"
829,Data Scientist,Connexions,Bangalore/Bengaluru,"NoSQL, RDBMS, Data Scientist, Data Structures, Deployment, ML Algorithm, MongoDB, Python"
830,Principal Data Scientist - Spark/Hadoop/Tensorflow,Yo HR Consultancy,Bangalore/Bengaluru,"Tensorflow, Hadoop, Spark, Julia, Machine Learning, analytical, R, signal processing"
831,Principal Data Scientist - Machine Learning,Yo HR Consultancy,Bangalore/Bengaluru,"Spark, Machine Learning, TensorFlow, Python, communication, analytical, Hadoop, Keras"
832,NLP Data scientist,TIGI HR Solution,Bangalore/Bengaluru,"NLP, Python, SQL, ELMO, GCP, Stanford NLP, spacy, NLU"
833,Data Scientist - Machine Learning/ Deep Learning,Yo HR Consultancy,Bangalore/Bengaluru,"Machine Learning, Deep Learning, Python, IT Skills, Data Science, Tensorflow, Pytorch, R"
834,Data Scientist,cliqhr.com,Bangalore/Bengaluru,"Java, C++, Scala, -, R, data mining, Tableau, communication"
835,Data Scientist,Connexions,Bangalore/Bengaluru,"machine learning, data science, Python, IT Skills, image processing, Data Structures, XGBOOST, Deployment"
836,NLP Data scientist,TIGI HR Solution,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru","NLP, Python, SQL, NLG, BERT, Gensim, AWS, GCP"
837,Principal Data Scientist - Big Data,Axcess Consultancy Services,Bangalore/Bengaluru,"Big Data, Time series data, TensorFlow, Pytorch, Julia, analytical, R, Python"
838,Data Scientist - Predictive Analytics,TalentStack,Bangalore/Bengaluru,"Machine Learning, noSQL, analytical, R, data mining, communication, analytics, SQL"
839,Data Scientist - Predictive Analytics,TalentStack,Bangalore/Bengaluru,"analytics, data mining, Predictive Analytics, IT Skills, Java, Python, Data Science, Machine Learning"
840,Data Scientist - Machine Learning,Catalyst,Bangalore/Bengaluru,"Data Science, Data Quality, Data Scientist, Statistical Modeling, Statistical Analyst, Machine Learning"
841,Principal Data Scientist - Machine Learning,Prime Infosoft,Bangalore/Bengaluru,"Spark, Machine Learning, Statistics, Python, communication, analytical, Hadoop, Julia"
842,Sr. Data Scientist _Gurgaon_ Adecco Payroll,Adecco India Private Limited,Gurgaon/Gurugram,"Data Science, Artificial Intelligence, Machine Learning"
843,Senior Data Scientist,Nanobi Data And Analytics Pvt Ltd,Bengaluru,Senior Data Scientist
844,Data Scientist 1,PayPal,Bangalore/Bengaluru,"Manager Technology, Scientist 1, Management, Financial services"
845,Data Scientist - Marketplace,Gojek,Bangalore/Bengaluru,"Unix, Computer science, Software design, Simulation, Business analytics, Machine learning, Distribution system, Python"
846,Data Scientist,Pega,Bengaluru,"IT Skills, Java, Python, Machine Learning, Product management, Logistic regression, Core Java, PDF"
847,Data Scientist,Gojek,Bangalore/Bengaluru,"Computer science, Text mining, Machine learning, Flex, Predictive modeling, Forecasting, Analytics, Financial services"
848,Data Scientist,Gojek,Bangalore/Bengaluru,"Computer science, Text mining, Machine learning, Flex, Predictive modeling, Forecasting, Analytics, Financial services"
849,Data Scientist 1,PayPal,Bangalore/Bengaluru,"PPC, Senior Analyst, Credit risk management, Scientist 1, Management, Financial services, Monitoring"
850,Data Scientist - Logistics,Gojek,Bangalore/Bengaluru,"Computer science, Supply chain management, Demand planning, Network optimization, SPSS, Business strategy, Business intelligence, Forecasting"
851,Data Scientist 1,PayPal,Bangalore/Bengaluru,"Analytical, Focus, Manager Technology, Customer experience, Scientist 1, Financial services"
852,Data Scientist 1,PayPal,Bangalore/Bengaluru,"Product management, Analytical skills, Trade, Coding, Scientist 1, Financial services, Spectrum"
853,Data Scientist 2,PayPal,Bangalore/Bengaluru,"Analytical, Management, Research, Business intelligence, Predictive analytics, Monitoring, Financial services"
854,Data Scientist 1,PayPal,Bangalore/Bengaluru,"Analytical, Scientist 1, Management, Research, Business intelligence, Predictive analytics, Project handling, Financial services"
855,Data Scientist - Pre - Sales,Persistent,Bangalore/Bengaluru,"IT Skills, Python, Data Science, Machine Learning, Cloud, AWS, Azure, Front end"
856,Data Scientist 1,AgreeYa,Bengaluru,"IT Skills, Python, Machine Learning, Cloud, AWS, Azure, Training, Cloud computing"
857,Data Scientist-Python with SQL- Offline,AgreeYa,"Hyderabad/Secunderabad, Bangalore/Bengaluru","Python, PySpark, OOP, data analysis, written communication, unit testing, SQL, object - oriented programming"
858,Data Scientist,AgreeYa,Bengaluru,"IT Skills, Python, Machine Learning, Cloud, Big Data, AWS, Computer science, Software design"
859,Junior Data Scientist,Soothsayer Analytics,Hyderabad,"Perl, data warehousing, Hadoop, Hive, Elastic MapReduce, Amazon Web Services, Pig, SQL"
860,Junior AI Data Scientist,Seven Consultancy (HR Solution),New Delhi,"C, Artificial Intelligence, Consulting, Analytics"
861,Junior AI Data Scientist,Seven Consultancy (HR Solution),Mumbai,"Artificial Intelligence, Consulting, Consultancy, Analytics"
862,Junior AI Data Scientist,Seven Consultancy (HR Solution),Chennai,"Artificial Intelligence, Analytics"
863,Junior Data Scientist,AICHUNKS Private Limited,Chandigarh,Machine learning
864,Junior Data Scientist,Blackstraw,Chennai,"IT Skills, Java, Python, Machine Learning, Front end"
865,Junior Data Scientist,Argus Media,Mumbai,"Computer science, Career development, Data analysis, Consulting, Healthcare, Commodity trading, Econometrics, Open source"
866,Senior System Engineer (Data Scientist),ZF India Private Limited,Chennai,"IT Skills, Machine Learning, Cloud, Computer science, Cloud computing, advanced analytics, Commercial vehicle, Aerospace"
867,Software Engineer- Python Data Engineer/Scientist I,Deutsche Bank,Pune,"GIT, Trade finance, Agile, Data collection, Cash management, data visualization, Troubleshooting, SDLC"
868,Software Engineer- Data Engineer/Scientist I,Deutsche Bank,Pune,"GIT, Trade finance, Agile, Data collection, Cash management, data visualization, Troubleshooting, SDLC"
869,Data Scientist,Allegis Services India Pvt. Ltd.,Bangalore/Bengaluru,"Python, Recruitment, SQL, Business Opportunity, Power Bi, Advanced Analytics, Tableau"
870,Urgently looking For a Data Scientist - Fintech company,Adecco India Private Limited,Hyderabad/Secunderabad,"Java, Machine Learning, Deep Learning, Data Science, Risk Monitoring, Artificial Intelligence, SCALA, Credit Risk"
871,Lead-Data Scientist,KRISHPAR TECHNOLOGIES PRIVATE LIMITED,"Chennai, Bengaluru","Computer vision, Image processing, Neural networks, Machine learning, Signal processing, Programming, Supervision, Python"
872,Data Scientist,Ignire Recruitment,Nagpur,"RDBMS/PLSQL/Stored procedures Oracle-10/11G SAP HANA Data warehouse, Informatica. Data Science/ Data management.Business analysis Workflow Power BI/Tableau or any other data visualization tools.Oracle 10/11G- SQL PL/SQL or similar RDBMS."
873,Associate Vice President - Data Scientist - IIT/NIT/IIM/XLRI,Huquo Consulting Pvt. Ltd,Gurgaon/Gurugram,"Java, Scala, Python, IT Skills, Machine Learning, Cloud, Big Data, Data Science"
874,Data Scientist (Fintech),Talent Destination,Gurgaon/Gurugram,"Predictive Modeling, Data Science, Risk Analytics, Fintech, growth analytics, Data Analytics, Analytics, Python"
875,Associate Vice President - Data Scientist - IIT/ NIT/ IIM/ XLRI,Huquo Consulting Pvt. Ltd,Gurgaon/Gurugram,"IT Skills, Java, Python, Machine Learning, Cloud, Big Data, Data Science, Tensorflow"
876,Data Scientist,Wolters Kluwer,"Kalyani, Pune","Computer science, Linux, Production support, Coding, Shell scripting, Machine learning, Data structures, Financial services"
877,Data Scientist,Seven Consultancy,"Mumbai, Navi Mumbai","Data analysis, Artificial Intelligence, Machine learning, Management consulting, Pattern recognition, Data mining, Forecasting, SQL"
878,Data Scientist,T & A Solutions,Panchkula,"Computer science, Data analysis, Analytical, Machine learning, Data structures, Information retrieval, Distribution system, Monitoring"
879,Data Scientist,POPxo,"Mumbai, New Delhi","Computer vision, advanced analytics, GCP, Machine learning, Data processing, big data, SQL, Python"
880,Data Scientist,Genzeon Technology Solutions Private Limited,Hyderabad/Secunderabad,"PowerBI, R, regression, cluster analysis, modeling, SLQ, Python, SAS"
881,Data Scientists Risk,Multi Recruit,Mumbai,"Bpo, Customer Service, Financial Services, Accounting, Real Estate, Data Analysis, Business Development, Machine Learning"
882,Data Scientist,Aera Technology,Pune,"Computer science, SAN, Data analysis, Relationship Executive, data science, spark, Machine learning, Enterprise software"
883,Data Scientist Level-2,Ignatiuz Software Pvt. Ltd,Indore,"IT Skills, Python, Data Science, Machine Learning, Cloud, Big Data, AWS, Computer science"
884,Great Opportunity For Data Scientist with Product Based,Abzooba India Infotech Private Limited,"Kolkata, Pune","Natural Language Processing, Machine Learning, Deep Learning, tenser flow, nlp, Python, written communication, consulting"
885,Data Scientist (Experienced),Centre for Computational Technologies Pvt. Ltd.,Pune,"SAN, Data modeling, Coding, CAD, Consulting, Machine learning, Autodesk, data visualization"
886,Data Scientist,Priority Vendor Technologies Pvt. Ltd.,Remote,"scikit-learn, Natural Language Processing, Machine Learning, SQL, Python, classification, Pytorch, deep learning"
887,Data Scientist - AV,NEEMTREE INTERNET PVT LTD,Gurgaon/Gurugram,"Computer vision, deep learning, data science, Focus, Machine learning, UPS, Research, Business intelligence"
888,Data Scientist-Analytics Insights,Hiring Joint,Noida,"Supply chain, Data analysis, Analytical, Machine learning, Data processing, Data structures, Data mining, Operations"
889,Data Scientist,Centre for Computational Technologies Pvt. Ltd.,Pune,"SAN, Data modeling, Coding, CAD, Consulting, Machine learning, Autodesk, data visualization"
890,Data Scientist,simulationHub,Pune,"IT Skills, Python, Testing, Data Science, Machine Learning, Big Data, AWS, Data modeling"
891,Data Scientist,Fundnel Limited,Mumbai,"Mining, Computer science, Logistic regression, Financial statements, data science, Data modeling, Machine learning, Data mining"
892,Data Scientist (Experienced),simulationHub,Pune,"IT Skills, Testing, Data Science, Machine Learning, Big Data, AWS, Tableau, Data modeling"
893,Data Scientist / Machine Learning Expert,Anicalls,Chennai,"Matlab, data mining, statistical analysis, Python, machine learning, IT Skills, Data analysis, Interpersonal skills"
894,Data Scientist,Shaadi.com,Mumbai,"Data Science, Predictive Modeling, R, Business Solutions, Data Scientist, Natural Language Processing, Big Data, Machine Learning"
895,Data Scientist,RCPC,Noida,"Data Science, data analysis, predictive modelling, Tensorflow, exploratory data analysis, Keras, data visualization, Python"
896,Data Scientist,BPRISE,Mumbai,"Data analysis, data science, Neural networks, Analytical, Machine learning, Data collection, Data mining, big data"
897,Data Scientist,SVKMs Narsee Monjee Institute of Management Studies - NMIMS,Mumbai,"Pytorch, analytical, PowerPoint, data mining, data science, Tableau, statistical analysis, Excel"
898,Data Scientist,Smartanalyst India Pvt Ltd,Gurgaon/Gurugram,"Data Science, R, Nlp, Logistic Regression, Data Scientist, Linear Regression, Big Data, Text Mining"
899,Data Scientist,WinZO,New Delhi,"Algorithms, Image Processing, Data Scientist, Computer Vision, Python"
900,Data Scientist,iSpatial Techno Solution Pvt ltd.,Hyderabad/Secunderabad,"NoSQL, Python, MS SQL Server, MySQL, Postgres, Graph, AWS SNS, data mining"
901,Data Scientist,Liquiloans,Mumbai,"Data Scientist, programming, Python, Science libraries, data transformation, debt investment"
902,Data Scientist,MABZONE IT SOLUTIONS,Mohali,"Data Science, Business Intelligence, Power Bi, Data Scientist, Hadoop, Operations Research, Computer Science, Data Mining"
903,AI Data Scientist,Seven Consultancy (HR Solution),Hyderabad/Secunderabad,"C++, SAS, Analytical, Artificial Intelligence, Consulting, Machine learning, Perl, Ruby"
904,AI Data Scientist,Seven Consultancy (HR Solution),Hyderabad/Secunderabad,"C++, SAS, Staffing, Analytical, Machine learning, Perl, Ruby, Recruitment"
905,Data Scientist,Seven Consultancy (HR Solution),Chennai,"data science, Workflow management, OOPS, Machine learning, Infrastructure, Programming, Data structures, Data analytics"
906,Data Scientist,Seven Consultancy (HR Solution),Mumbai,"data science, big data analytics, Workflow management, Machine learning, Infrastructure, Data structures, Consultancy, Apache"
907,Data Scientist,AgreeYa,Noida,"IT Skills, Python, Machine Learning, Computer science, Analytical, Agile, Data structures, data visualization"
908,Data Scientist,ALLERIN TECHNOLOGIES Pvt Ltd.,"Mumbai, Navi Mumbai","IT Skills, Python, Testing, Data Science, Machine Learning, Big Data, Computer science, Data analysis"
909,Data Scientist,Data Axle,Pune,"Computer science, Operations research, SAS, GCP, Analytical, Machine learning, Agile, Data quality"
910,Principal Data Scientist - NLP,ONIT,Pune,"IT Skills, Python, Testing, Machine Learning, Artificial Intelligence, Product Management, Legal compliance, Project management"
911,Data Scientist - Python/Tableau,Accubits Technologies,Trivandrum/Thiruvananthapuram,"R, Tableau, Python, D3J, Excel, Hadoop, Hive, Machine Learning"
912,Data Scientist,Zerogons Softwares India Pvt Ltd,Pune,"Keras, Python, ML, Django, communication, TensorFlow, flask, IT Skills"
913,Data Scientist ( m / f / d ),aioneers GmbH,Pune,"Data Science, Algorithms, Data Scientist, Time Series, Machine Learning, Python, Sql"
914,Data Scientist,Diverse Lynx,Chennai,"machine learning libraries, machine learning, Python, Java, numpy, pandas, pytorch, tensorflow"
915,Data Scientist - Statistical Modeling,Aviation Indeed,Noida,"Statistical Modeling, Data Science, Hive, Cloud Computing, Hadoop, Google Cloud Platform, Data Management, Big Data"
916,Data Scientist,Refinitiv,Mumbai,"Usage, Stock exchange, Analytical, Programming, Healthcare, Data processing, Quantitative Analyst, MATLAB"
917,Data Scientist,Testbook Edu Solutions,"Mumbai, Navi Mumbai","Computer science, SAS, Machine learning, Data structures, Predictive modeling, Pattern recognition, Data mining, Business solutions"
918,Data Scientist,Contrado Imaging Ltd,Ahmedabad,"Data Science, Business Intelligence, Data Scientist, Hadoop, Data Analysis, Data Mining, Spark, Data Analytics"
919,Operation Research -Data Scientist,AERA SOFTWARE TECHNOLOGY PVT LTD,Pune,"Cplex, Optimization, Python, IT Skills, Testing, Data Science, Machine Learning, Artificial Intelligence"
920,Assistant Manager/Manager/AVP - Data Scientist - BFS,Black Turtle India Pvt Ltd,Hyderabad/Secunderabad,"Python, Data Science, Data Management, Big Data, Data Visualization, Data Modeling, Tableau, Data Analytics"
921,Data Scientist-Predictive Modelling,Anicalls,Mumbai,"Teradata Data science, Oracle, statistical modeling, Python, Teradata, machine learning, R, SQL"
922,Data Scientist,Lakshmi North East Solutions,Guwahati,"Data analysis, Coding Analyst, data science, Accounting, Application programming, Data collection, data visualization, Predictive analytics"
923,Data Scientist - Python / Airflow / Sagemaker,R.S.Consultants,Pune,"Data Manipulation, Data Scientist, Hadoop, Big Data, Spark, Aws, Machine Learning, Python"
924,CarbyneTech - Data Scientist - Image Recognition/Machine Learning,CarbyneTech India,Hyderabad/Secunderabad,"Data Scientist, NLP, Time Series Analysis, Artificial Intelligence, Data Management, Image Recognition, Distributed Computing, Machine Learning"
925,ION Group - Data Scientists,ION,Mumbai,"IT Skills, Python, Software Development, Data Science, Machine Learning, Artificial Intelligence, AWS, Supply chain"
926,Data Scientist (NLP),Anicalls,Chennai,"data structures, Python, Keras, statistical analysis, java, UIMA, SQL, machine learning frameworks"
927,Data Scientist,Contentstack,Mumbai,"CI / CD, GitLab, Apache, Data APIs, Java, Spark, NoSQL, ETL"
928,Data Scientist,Kline & Company,Hyderabad,"Business objects, Data analysis, SAS, Consulting, Agile, Business intelligence, Oracle, Data mining"
929,Data Scientist,vDoIT Technologies Pvt. Ltd.,Gurgaon/Gurugram,"Computer science, C++, Business objects, Data analysis, Simulation, Coding, MySQL, Javascript"
930,DATA SCIENTIST,MapMyGenome,Hyderabad/Secunderabad,"Data Scientist, C + +, Hadoop, Computer Science, Big Data, Spark, Statistics, Python"
931,Data Scientist,PAGO Analytics,Hyderabad/Secunderabad,"IT Skills, Python, Data Science, Machine Learning, Cloud, Computer science, System architecture, deep learning"
932,DATA SCIENTIST,NJ India Invest Private Limited,Surat,"Analytical, Machine learning, query, Programming, Database, big data, Operations, Analytics"
933,Marketing Data Scientist,Hirebridge LLC,Hyderabad/Secunderabad,"IT Skills, Python, Testing, Machine Learning, Big Data, Tableau, Salesforce, Leadership development"
934,Data Scientist,Hire IT People,Pune,"R, machine learning, Apache Spark, Hadoop, Python, IT Skills, Big Data, Data Scientist"
935,Data Scientist - Machine Learning / Python,CarbyneTech India,Hyderabad/Secunderabad,"R, Predictive Modelling, Machine Learning, Python, SQL, analytical, Data Scientist, Data Management"
936,Data Scientist,PAGO Analytics,Hyderabad/Secunderabad,"Computer science, C++, Operations research, Analytical, Machine learning, Data mining, Business intelligence, Analytics"
937,Mid Level Data Scientist,Everestek LLC,"Mumbai, Surat","Computer science, Machine learning, Data collection, Data mining, MATLAB, digital transformation, Statistics, SQL"
938,Data Scientist,BrickRed Systems,Noida,"IT Skills, Java, Python, Data Science, Machine Learning, Cloud, Javascript, data cleansing"
939,Data Scientist Level I,Bit Brothers Tech Pvt Ltd,Mumbai,"Computer science, C++, Operations research, Analytical, Machine learning, Business intelligence, Data mining, Analytics"
940,Data Scientist,mPokket,Kolkata,"Quantitative Analysis, Hive, R, Data Scientist, Hadoop, Operations Research, Computer Science, Statistical Analysis"
941,Data Scientist,Quince,Hyderabad/Secunderabad,"Data Science, Communication Skills, Data Scientist, Problem Solving, Machine Learning, Python, Sql"
942,Bioinformatics Data Scientist,Kovid BioAnalytics,Pune,"NGS data analysis, communication, R programming, Linux, data mining, Python, IT Skills, Communication Skills"
943,Data Scientist,Tech Vedika,Hyderabad/Secunderabad,"Software Development, Opencv, Image Processing, Data Scientist, Data Structures, Image Segmentation, Computer Vision, Machine Learning"
944,Data scientist- Python,TeamPlus Staffing Solution Pvt Ltd,Gurgaon/Gurugram,"deep learning, data science, Machine learning, Banking, Business modeling, Statistics, Python"
945,DATA SCIENTISTS,Indira Securities Pvt. Ltd,Indore,"Distribution analysis, Machine learning, Hypothesis Testing, Anova, SPSS, data visualization, Multivariate analysis, Forecasting"
946,Data Scientist,Prevalent AI India Private Limited,Kochi/Cochin,"Prototype, Analytical, Machine learning, Engineering Manager, Workflow, Data mining, big data, Analytics"
947,Data Scientist,Boppo Technologies Pvt. Ltd.,Mumbai,"IT Skills, Java, Python, Tableau, C++, Operations research, Analytical, Machine learning"
948,Data Scientist,BlazeClan Technologies Pvt. Ltd,Pune,"rest, algorithms, python, project management, SAS, Data mining, Forecasting, Computer science"
949,Data Scientist - IT,GridEdge Technologies,Pune,"Computer science, Analytical, Machine learning, Data collection, Perl, data visualization, Data mining, MATLAB"
950,Data Scientist - Chennai - Manufacturing,First Meridian Business Services Private Limited,Chennai,"Manufacturing Data scientist, python, Power BI, Data Scientist, machine learning, IT Skills, Java, Golang"
951,Data Scientist & Business Development,Grid Logic Software Private Limited,Hyderabad/Secunderabad,"IT Skills, Java, Python, Data Science, Machine Learning, Tableau, Power BI, General Statistics"
952,Data Scientist,LogicPlum,Trivandrum/Thiruvananthapuram,"Computer science, Data analysis, Prototype, Analytical, Machine learning, Data structures, MATLAB, Forecasting"
953,Data Scientist,T & A Solutions,Gurgaon/Gurugram,"Unix, Computer science, Analytical skills, deep learning, NoSQL, Linux, data science, Machine learning"
954,Data Scientist,Genie Talk,Indore,"IT Skills, Python, Testing, Data Science, Machine Learning, Jenkins, AWS, Nlp"
955,Data Scientist,Datagrid,Mumbai,"Computer science, Computer vision, deep learning, Data analysis, Analytical, Artificial Intelligence, Machine learning, linear regression"
956,Hiring Data Scientist-Analytics||Sailotech-ERP Product Firm,sailotech Private Limited,Hyderabad/Secunderabad,"python, machine learning, deep learning, IT Skills, Oracle, data analytics, Natural Language Processing, dl"
957,Data Scientist,Boppo Technologies Pvt. Ltd.,Mumbai,"Java, Hadoop, R, Tableau, Scala, C++, SQL, machine -"
958,DATA SCIENTIST,Saffron Consultancy Services(scs),Delhi,"deep learning, Machine learning, Manager Technology, Data structures, Computer application, Executive management, Data mining, big data"
959,Data Scientist || Gurgaon,Neoris Consulting Services India Pvt Ltd,Gurgaon/Gurugram,"Tensorflow, Data Science, Python, IT Skills, Machine Learning, Pytorch, R, Artificial Neural Networks"
960,Data Scientist,Lenskart,Faridabad,"Data Science, Google Analytics, Algorithms, Project Management, Customer Experience, Data Scientist, E - Commerce, Statistics"
961,Data Scientist,Diverse Lynx,Uttar Pradesh,"machine - learning, Java, C, Scala, SQL, R, Python, data mining"
962,Data Scientist,Payoda Technologies Pvt. Ltd,"Chennai, Coimbatore","Telecom, deep learning, Data management, data science, Machine learning, Manager Technology, model development, big data"
963,Data Scientist,Jubna,Noida,"C++, Data analysis, data science, SAS, Project management, Agile, Perl, Business intelligence"
964,Data Scientist,Madhees,Hyderabad,"Process design, Logistic regression, Data analysis, NPV, Predictive modeling, Business solutions, Statistics, Monitoring"
965,Data Scientist- CBE,Quinbay Technology,Coimbatore,"machine learning, predictive modeling, management, communication, Tensorflow, SQL, analytical, Pytorch"
966,Data Scientist,Z2Plus Placement & Security Agency Pvt. Ltd.,Panaji/Panjim,"Supply chain, Computer science, Home appliances, Project management, Analytical, FMCG, MS Office, Data mining"
967,Data Scientist,Infognana (IG) Solutions,Noida,"Computer science, Machine learning, Data collection, Programming, Predictive modeling, data visualization, Statistics, SQL"
968,Marketing Data Scientist,Skillsoft,Hyderabad/Secunderabad,"Leadership development, Analytical, Machine learning, Agile, data governance, data visualization, Forecasting, Analytics"
969,Principal Data Scientist,Quadratyx,Hyderabad,"Analytical skills, data science, Machine learning, Natural language processing, Research, big data, MATLAB, Analytics"
970,Data Scientist,Quadratyx,Hyderabad,"Graphics, Machine learning, Data collection, Data structures, Scrum, Agile methodology, data visualization, Analytics"
971,Data Scientist,EarlySalary.com,Chennai,"Data Science, General Statistics, Data Scientist, Artificial Intelligence, Risk Analytics, Neural Networks, Big Data, Machine Learning"
972,Data Scientist,Tanla Solutions Ltd,Hyderabad/Secunderabad,"Text mining, Delivery management, Data analysis, Business analytics, Analytical, Machine learning, Natural language processing, Data analytics"
973,Data Scientist,Opera Solutions India Private Limited,New Delhi,"Product management, Computer science, Data analysis, Machine learning, Data mining, MATLAB, Analytics, Monitoring"
974,Data Scientist,Priority Vendor,Noida,"Statistical modeling, Machine learning, SCALA, Programming, Information retrieval, Natural language processing, Customer experience, Vendor"
975,Data scientist,IronList,Ahmedabad,"Computer science, C++, Heavy machinery, Analytical, Machine learning, Business intelligence, Data mining, Internship"
976,Data Scientist,Infinite Uptime,"Pune, Jharsuguda","Condition monitoring, Cloud computing, Data analysis, Artificial Intelligence, Machine learning, Data structures, Data mining, Analytics"
977,Data Scientist,torcai digital media,Pune,"Data analysis, data science, Machine learning, Mentor, Statistics"
978,Applied Data Scientist,ACTIONFI TECHNOLOGIES PRIVATE LIMITED,Calicut/Kozhikode,"verbal, Learning, Graph Analytics, written communication, Big Data, Big Data Analytics, IT Skills, Machine Learning"
979,Data Scientist,itForte Staffing Services Private Ltd.,Gurgaon,"Text mining, Computer science, deep learning, Data analysis, Machine learning, Data collection, Agile, Investment management"
980,Data Scientist,The National Collateral Management Services Limited,Gurgaon/Gurugram,"Data Scientist, Production, Agriculture, Data Analytics, Statistics, R & D"
981,Data Scientist,Seven Consultancy,Delhi,"advanced analytics, Renewable energy, data science, big data analytics, Analytical, Workflow, model development, Deployment"
982,Data Scientist,Demoport.in,Chennai,"Computer science, Cluster analysis, System architecture, Solution design, Data analysis, cassandra, Analytical, Data mining"
983,Data Scientist,Seven Consultancy (HR Solution),Hyderabad/Secunderabad,"Computer science, C++, SAS, data science, Perl, Data mining, Ruby, Analytics"
984,AI Data Scientist,Seven Consultancy (HR Solution),New Delhi,"C, Staffing, Artificial Intelligence, Machine learning, Consultancy, Analytics, Recruitment"
985,AI Data Scientist,Seven Consultancy (HR Solution),Chennai,"C, Artificial Intelligence, Analytics"
986,AI Data Scientist,Seven Consultancy (HR Solution),Chennai,"C, Artificial Intelligence, Analytics"
987,Data Scientist,Lakshmi North East Solutions,Guwahati,"Financial advisory, Assurance, data science, Accounting, Consulting, Statistical Analyst, Taxation, Risk management"
988,DATA ARCHITECT/DATA SCIENTIST,AxmiYaN HR Solutions Private Limited,Gurgaon,"Training, MS SQL, Database design, Analytical, Data Architect, Database, Data Analyst, Data mining"
989,Data Scientist,Beno Staffing,Gurgaon,"Computer science, Data analysis, PDF, Image processing, Staffing, Machine learning, Natural language processing, Analytics"
990,Data Scientist,Vistex Asia Pacific,Hyderabad/Secunderabad,"Computer science, Data analysis, C++, Operations research, XML, Analytical, Data mining, Econometrics"
991,Data Scientist,RedLotus,Mumbai,"modeling, statistical modeling, written, analytical, machine learning, communication, IT Skills, Computer science"
992,Data Scientist,Hookfish.in,Mumbai,"Graphics, Administration, Sales operations, Strategic planning, PHP, Entrepreneur, Business strategy, Budgeting"
993,Data Scientist,Manufacturing sector,Mumbai,"data science, Predictive Modeling, Logistic Regression, Pricing, Revenue Management, data scientist, Business Optimization, Statistics"
994,Data Scientist,SplashLearn,Gurgaon/Gurugram,"Computer science, customer segmentation, Data analysis, Usage, Statistical analysis, data science, Analytical, Machine learning"
995,Data Scientist,Splash M,Gurgaon/Gurugram,"Computer science, customer segmentation, Data analysis, Usage, Statistical analysis, data science, Analytical, Machine learning"
996,Data Scientist,Liquiloans,Mumbai,"Scipy, Pandas, Numpy, Data Science, predictive modelling, Data Scientist, Data Science libraries, Linear Programming"
997,Data Scientist,Buckman,Chennai,"Water treatment, Minitab, data science, Analytical, Machine learning, Data mining, MATLAB, Sustainable development"
998,data scientist - biotechnology Jobs,Right Step Consulting,Delhi,"Mining, Evaluation, Data analysis, Analytical, KPO, Research, Business intelligence, Operations"
999,Data Scientist,Korgen Technologies (P) Limited,Chennai,"System architecture, Modification, advanced analytics, Data analysis, Analytical, Map Reduce, Technical, Data mining"
1000,Data Scientist,Mahajan Imaging,Delhi,"Medical imaging, Focus, Access, Clinical research, Medical, Data analytics, informatics, SQL"
1001,Data Scientist,Central Business Solution,Pune,"Tensorflow, IT Skills, Machine Learning, Nlp, Algorithms, Data Scientist, Computer Vision, Deep Learning"
1002,Data Scientist,Diverse Lynx,Pune,"Data Science, Data Analytics, Maria DB, Graphana, IT Skills, Data Scientist"
1003,Data Scientist,Nisum Technologies,Hyderabad/Secunderabad,"Computer science, Logistic regression, Data analysis, data science, Analytical, Data collection, Forecasting, Information technology"
1004,Data Scientist,Infobizzs Services,Vadodara,"Seaborn API, MlFLow, Computer Vision, Pytorch, TFServe, FastAPI, communication, analytical"
1005,Data Scientist,Reubro,"Kochi, Cochin/ Kochi/ Ernakulam","IT Skills, Data Science, Machine Learning, Big Data, SAP, data management, data mining, operations research"
1006,Data Scientist,Reubro,Kochi,"IT Skills, Data Science, Machine Learning, Big Data, SAP, data management, data mining, operations research"
1007,Data Scientist,Mahajan Imaging,Delhi,"Medical imaging, Focus, Clinical research, Data analytics, informatics, SQL"
1008,Virtue Analytics - Data Scientist,Virtue Analytics,Lucknow,"data mining, Data Science, Data Scientist, Data Management, Data Modeling, Data Analytics, Machine Learning, Analytics"
1009,Data Scientist,Reubro,Kochi,"IT Skills, Data Science, Machine Learning, Big Data, SAP, data management, data mining, solutions"
1010,Data Scientist,Red Lotus,Mumbai,"Computer science, Statistical modeling, Analytical, Machine learning, HTML, data visualization, Statistics, Scripting"
1011,Data Scientist,TechVantage Systems Private Limited,Trivandrum,"Computer science, data cleansing, Computer vision, deep learning, Product engineering, Machine learning, Predictive modeling, data visualization"
1012,Data scientist,Mudra Circle,Mumbai,Data scientist
1013,Data Scientist,Imurgence,"Kolkata, Mumbai, Jamshedpur","Mining, Supply chain, Computer science, Data analysis, Operations research, Coding, Artificial Intelligence, Machine learning"
1014,Data Scientist,Advantmed,"Pune(Kharadi), Ahmedabad(Prahlad Nagar)","deep learning, python, data science, Natural Language Processing, Machine Learning, BPO, data analysis, nlp"
